period,trades,avg_return,sum_return
2021-01-01,39,0.07836619420649893,3.1035512052485004
2021-02-01,35,0.0423918969161341,1.4543543026482535
2021-03-01,40,0.04573955918481796,1.9137337354768573
2021-04-01,36,0.025201760541366164,0.7748729718184475
2021-05-01,30,0.030428126256314032,1.0408770118911455
2021-06-01,39,0.03780889226885167,1.4233603629701705
2021-07-01,33,0.03228625099635272,1.3166082964500694
2021-08-01,35,0.012894184946154972,0.5273967863719841
2021-09-01,25,0.043931147739187416,1.3704950059689591
2021-10-01,34,0.009253721237430991,0.22177433695854976
2021-11-01,35,0.046411762652843205,1.5382382667901435
2021-12-01,35,0.013858039321402577,0.6034539063461949
2022-01-01,28,0.012681129813244815,0.3544998167847634
2022-02-01,27,0.0234698060784789,0.6825111470595328
2022-03-01,32,0.046827632553359894,1.4518532070822276
2022-04-01,25,0.04866064094116211,1.202894368044371
2022-05-01,36,0.02122721231803006,0.7941531459250256
2022-06-01,30,0.014156673301424234,0.4183354981011609
2022-07-01,34,-0.009394527488260565,-0.3931420472451992
2022-08-01,20,0.010317076567431438,0.1572406617692168
2022-09-01,34,0.03848998235180658,1.3986862640912814
2022-10-01,37,0.04571244372059887,1.728052242826056
2022-11-01,30,0.025055683167792497,0.8740552086358393
2022-12-01,24,0.023132449228604843,0.36703265256699846
2023-01-01,23,0.024807225894996048,0.4743084024386224
2023-02-01,34,0.038380925904345116,1.1959008669327387
2023-03-01,39,0.03702953518900934,1.2484426240982671
2023-04-01,38,0.07564179987855987,3.026075875787957
2023-05-01,34,0.08000001890770979,2.769024598613388
2023-06-01,31,0.0330845052352632,0.9461665115771282
2023-07-01,30,0.02810770647294869,0.9209913673347307
2023-08-01,36,0.060496464683335645,2.2079565670576637
2023-09-01,34,0.026072607182707968,1.0085458931104223
2023-10-01,29,0.0475959750867954,1.5708822087809922
2023-11-01,37,0.03157651444385977,1.0055103155897642
2023-12-01,37,0.06108664815337641,2.2550905392359692
2024-01-01,30,0.023555830842295223,0.8267545067255495
2024-02-01,27,0.06980675178263687,1.7755799234274787
2024-03-01,26,0.06167560654596239,1.6244758827213786
2024-04-01,13,0.058978637772821856,0.5994769939268346
2024-05-01,15,0.04817139673980264,0.756711688676734
2024-06-01,22,0.05148212493809567,1.2848425944640451
2024-07-01,28,0.08624177950744144,2.090382895483264
2024-08-01,27,0.08492064242490145,2.3310743886405403
2024-09-01,19,0.09557686685707482,1.8013603064028403
2024-10-01,17,0.03138240935347309,0.5088981226631585
2024-11-01,29,0.08577238167604882,2.7440950779817137
2024-12-01,34,0.07233666445394635,2.5026935321607136
2025-01-01,29,0.038295881734898785,1.23536593884124
2025-02-01,38,0.03152569516327251,1.309894644081341
2025-03-01,37,0.05389061179288244,2.1018923152401916
2025-04-01,44,0.15035407699514822,6.615579387786521
2025-05-01,37,0.08221382435739866,3.124125325581149
2025-06-01,33,0.06768957876230225,2.52616883769683
2025-07-01,39,0.05239486074678626,2.2481515779760777
2025-08-01,32,0.04428900957457838,1.3685986177472942
2025-09-01,41,0.05336530338737006,2.105436718926893
2025-10-01,35,0.04871464949101823,1.7867918978056883
2025-11-01,37,0.03625545592456363,1.3464165819782683
2025-12-01,41,0.07513533605722585,3.0759966144034854
2026-01-01,41,0.09526357828980742,3.703303538792259
2026-02-01,34,0.07266974757756568,2.4707714176372333
2026-03-01,42,0.06684084310716695,2.8073154105010123
2026-04-01,13,0.09533930852847669,1.275722541620896
