period,trades,avg_return,sum_return
2021-01-04,10,0.07720709236816739,0.772070923681674
2021-01-11,10,0.08584602346369163,0.8584602346369163
2021-01-18,10,0.09958498908445004,0.9958498908445004
2021-01-25,9,0.05082667190968665,0.4771701560854099
2021-02-01,10,0.05297205329507195,0.5297205329507195
2021-02-08,6,0.011415740533243865,0.06849444319946318
2021-02-15,10,0.05465554848510652,0.5465554848510652
2021-02-22,9,0.03813378279795795,0.3095838416470055
2021-03-01,8,0.05245706011769913,0.419656480941593
2021-03-08,10,0.030001339105380265,0.30001339105380265
2021-03-15,8,0.011552165261291814,0.10819390232742143
2021-03-22,8,0.11645107514395431,0.9316086011516345
2021-03-29,9,0.020789760115658307,0.19619409010326716
2021-04-05,7,0.01929287034067121,0.17065308893557152
2021-04-12,10,0.020104215998304475,0.20104215998304475
2021-04-19,8,0.06576085353386359,0.4079866899441609
2021-04-26,8,-0.005842712143148826,-0.04674169714519061
2021-05-03,6,0.04831251632688641,0.2880765405558804
2021-05-10,9,0.011836391924921119,0.15140206638817577
2021-05-17,6,0.023376282317506436,0.1870102585400515
2021-05-24,7,0.01938742923689095,0.16594934347921442
2021-05-31,10,0.022965389147081072,0.22965389147081072
2021-06-07,7,0.026257365000845995,0.2104292903771383
2021-06-14,8,0.09100143964008969,0.745030913708927
2021-06-21,10,0.014574507609418419,0.1457450760941842
2021-06-28,7,0.029159097975809622,0.2871063890267054
2021-07-05,8,0.04032069823095408,0.43480302896901235
2021-07-12,9,0.03198424164874432,0.34332160538819023
2021-07-19,8,0.04477399368826257,0.35819194950610056
2021-07-26,7,0.03166292499984695,0.23412531780699475
2021-08-02,8,-0.0031214989829984607,-0.005642453838843986
2021-08-09,8,0.023812727503098596,0.19050182002478877
2021-08-16,6,0.01926326177501921,0.11557957065011526
2021-08-23,9,0.014911700561910957,0.16096222804606408
2021-08-30,6,0.012635554017253525,0.07581332410352115
2021-09-06,8,0.03346562256885797,0.3626436470722275
2021-09-13,5,0.10391105519842703,0.6281828488283729
2021-09-20,3,0.03852719927796522,0.15239903006762057
2021-09-27,9,0.017659047471582267,0.1981568765319407
2021-10-04,8,0.010142911759612072,0.08114329407689658
2021-10-11,8,0.00979682763178047,0.07837462105424375
2021-10-18,6,0.030015007281681175,0.1287604306644835
2021-10-25,10,-0.0047209107981938,-0.047209107981938
2021-11-01,7,0.035485427237617426,0.21505863040297724
2021-11-08,9,0.15337255651271708,1.2343907535972374
2021-11-15,8,0.005096004188975089,0.06832044504932455
2021-11-22,9,0.0018725083905655859,0.029439369619941536
2021-11-29,6,-0.006448889833632713,-0.03869333900179628
2021-12-06,8,0.002910985940885813,0.10267549161958633
2021-12-13,8,0.053683224657133786,0.5123989478507015
2021-12-20,9,0.011098663590874903,0.11098663590874902
2021-12-27,6,-0.015480793651730477,-0.09288476191038286
2022-01-03,8,0.006269801757812166,-0.07935084492913136
2022-01-10,5,0.024387768059778103,0.15281755490648763
2022-01-17,6,-0.005368218259664914,-0.010430476773184871
2022-01-24,9,0.027776495344360563,0.291463583580592
2022-01-31,4,0.04504600364258787,0.1801840145703515
2022-02-07,8,0.043101656967992355,0.34481325574393884
2022-02-14,6,-0.023333445735060743,-0.14000067441036446
2022-02-21,7,0.02748994415284435,0.24527613008487836
2022-02-28,3,0.015033289478208478,0.05618578949178121
2022-03-07,7,0.02651849724654426,0.19672870035494938
2022-03-14,10,0.08005883737462224,0.8005883737462225
2022-03-21,9,0.01368112257255758,0.22093760562660358
2022-03-28,7,0.14057252331436593,0.8258788878136288
2022-04-04,6,-0.03230569303789155,-0.19383415822734928
2022-04-11,3,0.05343541030069532,0.1688366325672026
2022-04-18,5,0.03896211146102668,0.09890424771352846
2022-04-25,9,0.05125900657307179,0.5327599171107603
2022-05-02,7,0.03582464809452725,0.2755930582087628
2022-05-09,7,0.028300748917569424,0.23522433349223093
2022-05-16,9,0.014767589446582996,0.13489811668805218
2022-05-23,10,0.008017997699406943,0.08017997699406942
2022-05-30,7,0.02221949333300037,0.13778416204138366
2022-06-06,3,0.014206789944837844,0.02572479757462698
2022-06-13,5,0.011318131924332453,0.0643331062063045
2022-06-20,10,0.023898723658630473,0.23898723658630472
2022-06-27,10,0.0037486423522235966,0.03748642352223597
2022-07-04,10,0.03495971868986619,0.3495971868986619
2022-07-11,8,-0.004747366912187689,-0.037978935297501515
2022-07-18,8,-0.12181133340377104,-0.9744906672301683
2022-07-25,6,0.03836835734548036,0.25200780109602405
2022-08-01,7,-0.004476920714883636,-0.04683845524008334
2022-08-08,3,0.029940894490693887,0.08982268347208167
2022-08-15,4,0.014710813007307172,0.05884325202922869
2022-08-22,4,0.007617560501670857,0.020369420413808625
2022-08-29,6,0.0512167961869663,0.3746906084015492
2022-09-05,6,0.02781267652974964,0.20376942376537466
2022-09-12,5,0.020379929885283643,0.08365744987537627
2022-09-19,9,0.06629080588413774,0.6563291114729564
2022-09-26,10,0.011528343167020606,0.11528343167020605
2022-10-03,8,0.06950032834545815,0.5560026267636652
2022-10-10,8,0.07814238275670699,0.6251390620536559
2022-10-17,9,0.034986533814686985,0.3408447195901688
2022-10-24,10,0.023117130866201662,0.23117130866201663
2022-10-31,6,0.06949960190736432,0.4169976114441859
2022-11-07,9,0.012869302351167056,0.17384720853369695
2022-11-14,9,0.01013255443047193,0.08576588639114513
2022-11-21,7,0.02584891232496625,0.18584889022276663
2022-11-28,2,0.012852912037552178,0.025705824075104355
2022-12-05,6,0.07704888651636792,0.42615251509808294
2022-12-12,8,0.00636993267362275,0.050959461388982
2022-12-19,3,-0.02751703769512928,-0.09282677147017226
2022-12-26,6,-0.00619664662572611,-0.056468238724404096
2023-01-02,5,0.022348759389492767,0.034982009958303584
2023-01-09,4,0.03572213766099001,0.13223733878918997
2023-01-16,6,0.015978849953966773,0.09587309972380065
2023-01-23,4,0.02026843649282954,0.08252272989111331
2023-01-30,9,0.044934007785219686,0.4320986985418521
2023-02-06,9,0.0527461417497568,0.4055101979853728
2023-02-13,7,0.03043767510952925,0.1829733381570816
2023-02-20,9,0.03858832834012939,0.3071431259209788
2023-02-27,8,0.008376782252496787,0.0670142580199743
2023-03-06,10,0.010416895516473712,0.10416895516473712
2023-03-13,9,0.09340789044950995,0.6348443881415854
2023-03-20,10,0.036564802921188064,0.36564802921188067
2023-03-27,6,0.010149882681296116,0.07363572396375773
2023-04-03,9,0.07663612814787316,0.7538694997561806
2023-04-10,9,0.05141248609316046,0.5270205232997172
2023-04-17,10,0.11648718556224832,1.1648718556224833
2023-04-24,10,0.0580313997109575,0.580313997109575
2023-05-01,6,0.08418199787472165,0.5050919872483299
2023-05-08,9,0.07069863110009193,0.6924408564554647
2023-05-15,8,0.11978728599734699,0.9582982879787759
2023-05-22,7,0.051544272470789396,0.3159235522476048
2023-05-29,8,0.026908602092126338,0.2152688167370107
2023-06-05,3,-0.002532280159871799,-0.0075968404796153965
2023-06-12,10,0.014013352656578871,0.1401335265657887
2023-06-19,7,0.09391734791847971,0.5140506477546173
2023-06-26,7,0.049595582182660095,0.38158027568253894
2023-07-03,9,0.045143505861899046,0.443282884705947
2023-07-10,10,0.008809651233007065,0.08809651233007065
2023-07-17,4,0.02068347294459469,0.08273389177837875
2023-07-24,7,0.03835975981504179,0.30687807852033433
2023-07-31,6,0.020208360042180573,0.12125016025308344
2023-08-07,10,0.07488686899063052,0.7488686899063052
2023-08-14,8,0.09694663744487524,0.7755730995590019
2023-08-21,9,0.01118726849421503,0.1118726849421503
2023-08-28,5,0.13859491328034212,0.7406603887729619
2023-09-04,8,-0.005627248265323381,-0.03076661864323693
2023-09-11,8,-0.0037629009918874632,-0.04534805376135209
2023-09-18,10,0.060354108912896755,0.6035410891289675
2023-09-25,6,0.031808503335034134,0.19085102001020482
2023-10-02,2,-0.00575815738963531,-0.01151631477927062
2023-10-09,6,0.08009367558883125,0.48056205353298753
2023-10-16,8,0.060429915515939805,0.48343932412751844
2023-10-23,9,0.0329545523355116,0.36584021457938465
2023-10-30,10,0.03569661740914375,0.3569661740914375
2023-11-06,9,0.01769829878986263,0.17698298789862632
2023-11-13,8,0.045022224438837855,0.3912735262028584
2023-11-20,9,-0.010042921952580608,-0.06234328202580608
2023-11-27,7,0.1225375589428424,0.680459961175913
2023-12-04,10,0.03444929396132209,0.3444929396132209
2023-12-11,10,0.0948683666644532,0.948683666644532
2023-12-18,9,0.04210056108110301,0.35480352021869566
2023-12-25,6,0.05363971538777126,0.32183829232662753
2024-01-01,3,0.0510596018686143,0.20065555398757295
2024-01-08,8,0.03905124731110839,0.3718492049151054
2024-01-15,8,0.019194945497098003,0.20444073631478987
2024-01-22,8,-0.003009026678827009,-0.0028320779916197747
2024-01-29,7,0.059286339599246604,0.38842030305470654
2024-02-05,4,0.06557023232303337,0.19917809510848739
2024-02-12,6,0.07076891402044037,0.38141293819862987
2024-02-19,8,0.07340694803157533,0.6194795907944946
2024-02-26,5,0.05733469343952859,0.2397300857708614
2024-03-04,5,0.09963094304303384,0.4617966472691921
2024-03-11,7,0.09959604573573266,0.8159869640318516
2024-03-18,9,0.039500644176810706,0.24097221193925622
2024-03-25,5,0.013527258147385562,0.10572005948107888
2024-04-01,3,0.07589374639276787,0.22768123917830363
2024-04-08,5,-0.021467123900050122,-0.11368939327435612
2024-04-15,3,0.03045583365468781,0.09136750096406343
2024-04-22,1,0.09411764705882364,0.09411764705882364
2024-04-29,1,0.30000000000000004,0.30000000000000004
2024-05-06,6,0.03738187708265236,0.22429126249591413
2024-05-13,4,0.030189262407441502,0.17628120551261017
2024-05-20,3,0.06728729239575999,0.20186187718728
2024-05-27,2,0.07713867174046485,0.1542773434809297
2024-06-03,8,0.07145485765606212,0.5716388612484969
2024-06-10,2,0.029726840717115732,0.059453681434231465
2024-06-17,7,0.07501623013681458,0.5566515802249514
2024-06-24,5,0.01885292913190026,0.09709847155636542
2024-07-01,7,0.07290743385965016,0.44456234412073614
2024-07-08,5,0.15486797335433788,0.6309410522854628
2024-07-15,6,0.05390826749036265,0.2581106439102403
2024-07-22,6,0.11861133468278562,0.7630891526662829
2024-07-29,5,0.03629190090758061,0.10571555397301258
2024-08-05,6,0.0938607023365229,0.5631642140191374
2024-08-12,7,0.06141274124209248,0.39200123063604053
2024-08-19,7,0.06677181575049489,0.5289661926706258
2024-08-26,6,0.12248448330704424,0.7349068998422654
2024-09-02,5,0.07558411394837461,0.3346087176605237
2024-09-09,7,0.10266508702864185,0.6660506629828139
2024-09-16,3,0.11864302910498065,0.5051398020094422
2024-09-23,4,0.08837847798122617,0.2955611237500605
2024-09-30,1,0.0,0.0
2024-10-07,4,0.12816702043406766,0.4358408392923523
2024-10-14,4,-0.033016503043333756,-0.13457582491947495
2024-10-21,4,0.0379514080302151,0.1518056321208604
2024-10-28,5,0.005227938516454339,0.06150468622619287
2024-11-04,7,0.07583430059636295,0.5768562229527219
2024-11-11,8,0.1343418014912062,1.0519894434834907
2024-11-18,7,0.14632914354134502,1.172738411488655
2024-11-25,6,-0.005534280973689049,-0.06316620999992573
2024-12-02,9,0.0421909488735994,0.3974061774777158
2024-12-09,10,0.12991000878978312,1.2991000878978312
2024-12-16,8,0.06884654247752775,0.550772339820222
2024-12-23,5,0.06068653568653567,0.2871961371961371
2024-12-30,6,0.005154435414755558,0.030926612488533345
2025-01-06,9,0.05197963883989855,0.5336468039114508
2025-01-13,6,0.0555665168693539,0.3333991012161234
2025-01-20,9,0.02921357092821445,0.29689761404404924
2025-01-27,1,0.008714596949890963,0.008714596949890963
2025-02-03,8,0.019449788749475328,0.24336472504519358
2025-02-10,10,-0.0028419220254192077,-0.02841922025419208
2025-02-17,10,0.05961375761687776,0.5961375761687776
2025-02-24,10,0.04988115631215619,0.49881156312156194
2025-03-03,7,0.011455678886144488,0.07069725027327944
2025-03-10,8,0.032166861980091034,0.28888464414168114
2025-03-17,10,0.04966781848161074,0.49667818481610737
2025-03-24,10,0.08256514963861769,0.825651496386177
2025-03-31,10,0.1612907443339448,1.6129074433394481
2025-04-07,10,0.16797288137300634,1.6797288137300634
2025-04-14,10,0.07495516524601863,0.7495516524601863
2025-04-21,10,0.18666882719224215,1.8666882719224214
2025-04-28,8,0.1423060814799627,1.1384486518397017
2025-05-05,6,0.13359469446705893,0.8015681668023535
2025-05-12,10,0.12957795492299737,1.2957795492299737
2025-05-19,9,0.08238433162662259,0.823843316266226
2025-05-26,10,0.01911695874002428,0.1911695874002428
2025-06-02,6,0.04714024803384501,0.2828414882030701
2025-06-09,10,0.09102445802607072,0.9102445802607072
2025-06-16,6,0.028519388926560862,0.2813264182171945
2025-06-23,10,0.10879290464650992,1.0879290464650992
2025-06-30,8,0.044209356568484834,0.48870709640091126
2025-07-07,10,0.03057975789190077,0.3057975789190077
2025-07-14,9,0.07101303585601992,0.629855129202401
2025-07-21,8,0.07927148365025735,0.8001921475210454
2025-07-28,5,-0.0029513096177527323,-0.012573069516529256
2025-08-04,9,0.07784092662295436,0.573345975090303
2025-08-11,7,0.03863459208666803,0.3072894265950421
2025-08-18,9,0.029858635942112056,0.29067079213879865
2025-08-25,7,0.02604149779260169,0.19729242392315027
2025-09-01,10,0.032043702233482386,0.32043702233482385
2025-09-08,10,0.028277319529550527,0.28277319529550526
2025-09-15,8,0.05888800101558678,0.5485118110403686
2025-09-22,9,0.07058625219594127,0.5035940909575224
2025-09-29,8,0.10341504295605349,0.8273203436484279
2025-10-06,2,0.10603111997226078,0.21206223994452156
2025-10-13,10,0.07753609798009499,0.7753609798009499
2025-10-20,9,0.02962010583358493,0.3292655744648816
2025-10-27,10,0.00929033592455807,0.09290335924558069
2025-11-03,10,0.0019829415116715985,0.019829415116715987
2025-11-10,10,0.03806879770695202,0.3806879770695202
2025-11-17,9,0.07775732073177802,0.7462824641626303
2025-11-24,8,0.02495209070367521,0.1996167256294017
2025-12-01,10,0.03528239913951894,0.3528239913951894
2025-12-08,10,0.06577354606907002,0.6577354606907001
2025-12-15,9,0.15324966224087558,1.4528091224087558
2025-12-22,8,0.06933270207484188,0.554661616598735
2025-12-29,6,-0.01868325333609272,-0.11209952001655632
2026-01-05,9,0.05568776429834481,0.2591108936037956
2026-01-12,10,0.15007759566054835,1.5007759566054835
2026-01-19,10,0.12300111406196765,1.2300111406196765
2026-01-26,10,0.08834714912899663,0.8834714912899663
2026-02-02,10,0.06495145693862461,0.6495145693862461
2026-02-09,10,0.08065859799759785,0.8065859799759785
2026-02-16,4,0.18425944426529006,0.7370377770611602
2026-02-23,10,0.027763309121384906,0.27763309121384905
2026-03-02,8,0.04161806858102461,0.3329445486481969
2026-03-09,10,0.019556812439930217,0.19556812439930216
2026-03-16,10,0.07962081923447153,0.7962081923447153
2026-03-23,10,0.12180850655657131,1.2180850655657132
2026-03-30,9,0.08595255349728997,0.8004977571951221
2026-04-06,8,0.0924667829961073,0.7397342639688584
