date,trades,avg_return,sum_return,precision_day
2021-01-04,2,0.06118370961977726,0.12236741923955452,1.0
2021-01-05,2,0.11667680145941017,0.23335360291882035,1.0
2021-01-06,2,0.06838606695384081,0.13677213390768161,0.5
2021-01-07,2,0.01439077858708715,0.0287815571741743,0.5
2021-01-08,2,0.1253981052207216,0.2507962104414432,1.0
2021-01-11,2,-0.0019964020885436806,-0.003992804177087361,0.5
2021-01-12,2,0.18677955194943197,0.37355910389886393,1.0
2021-01-13,2,-0.019465474918526904,-0.03893094983705381,0.0
2021-01-14,2,0.09397590361445785,0.1879518072289157,0.5
2021-01-15,2,0.16993653876163894,0.3398730775232779,1.0
2021-01-18,2,0.1480270511960653,0.2960541023921306,1.0
2021-01-19,2,0.14012490806488498,0.28024981612976996,1.0
2021-01-20,2,0.000057537399309581794,0.00011507479861916359,0.5
2021-01-21,2,0.057686629808666456,0.11537325961733291,1.0
2021-01-22,2,0.15202881895332387,0.30405763790664775,0.5
2021-01-25,2,0.13512229634121697,0.27024459268243395,1.0
2021-01-26,2,0.04863073281588226,0.09726146563176452,1.0
2021-01-27,2,0.07404826013350063,0.14809652026700126,1.0
2021-01-28,1,0.03109656301145658,0.03109656301145658,1.0
2021-01-29,2,-0.0347644927536232,-0.0695289855072464,0.0
2021-02-01,2,0.09428591560931288,0.18857183121862575,1.0
2021-02-02,2,0.07782166460140438,0.15564332920280877,1.0
2021-02-03,2,0.009554292592516611,0.019108585185033222,0.5
2021-02-04,2,0.0065125784170838585,0.013025156834167717,0.5
2021-02-05,2,0.07668581525504203,0.15337163051008407,0.5
2021-02-08,2,0.0479723381065133,0.0959446762130266,0.5
2021-02-09,2,-0.08244281182167307,-0.16488562364334614,0.0
2021-02-10,2,0.06871769531489136,0.13743539062978272,0.5
2021-02-15,2,0.1424288617886179,0.2848577235772358,1.0
2021-02-16,2,0.048292902066486953,0.09658580413297391,0.5
2021-02-17,2,0.1413113370574287,0.2826226741148574,0.5
2021-02-18,2,0.0010909972523031608,0.0021819945046063216,0.5
2021-02-19,2,-0.059846355739304136,-0.11969271147860827,0.0
2021-02-22,2,-0.039859388294299414,-0.07971877658859883,0.0
2021-02-23,2,0.019442199522130443,0.03888439904426089,0.5
2021-02-24,1,0.07175398633257402,0.07175398633257402,1.0
2021-02-25,2,0.03444894006208277,0.06889788012416553,1.0
2021-02-26,2,0.10488317636730193,0.20976635273460387,1.0
2021-03-02,2,0.08595750128008184,0.17191500256016368,1.0
2021-03-03,2,0.02368312278798207,0.04736624557596414,0.5
2021-03-04,2,-0.020642201834862373,-0.041284403669724745,0.0
2021-03-05,2,0.12082981823759498,0.24165963647518995,1.0
2021-03-08,2,-0.00831093521395343,-0.01662187042790686,0.5
2021-03-09,2,0.06331658102848392,0.12663316205696784,1.0
2021-03-10,2,-0.013094305120167238,-0.026188610240334476,0.5
2021-03-11,2,0.022576147576147565,0.04515229515229513,0.5
2021-03-12,2,0.0855192072563905,0.171038414512781,1.0
2021-03-15,2,0.009701289706024185,0.01940257941204837,0.5
2021-03-16,2,0.01674454828660432,0.03348909657320864,1.0
2021-03-17,2,0.023987238028333857,0.047974476056667714,0.5
2021-03-18,1,0.014084507042253502,0.014084507042253502,1.0
2021-03-19,1,-0.006756756756756799,-0.006756756756756799,0.0
2021-03-22,2,0.14603365384615385,0.2920673076923077,0.5
2021-03-23,2,0.125089671171299,0.250179342342598,1.0
2021-03-25,2,0.07434556100921386,0.1486911220184277,1.0
2021-03-26,2,0.12033541454915053,0.24067082909830106,1.0
2021-03-29,2,0.07751457988336097,0.15502915976672194,1.0
2021-03-30,2,0.052924418149262076,0.10584883629852415,1.0
2021-03-31,2,-0.05330831803141994,-0.10661663606283989,0.0
2021-04-01,1,0.011703511053315907,0.011703511053315907,1.0
2021-04-02,2,0.015114609523772526,0.030229219047545053,0.5
2021-04-05,1,0.032863849765258246,0.032863849765258246,1.0
2021-04-06,1,-0.010588235294117676,-0.010588235294117676,0.0
2021-04-07,1,0.0,0.0,0.0
2021-04-08,2,-0.008419958419958407,-0.016839916839916813,0.5
2021-04-09,2,0.08260869565217388,0.16521739130434776,0.5
2021-04-12,2,0.057141533400770605,0.11428306680154121,0.5
2021-04-13,2,0.05195417789757417,0.10390835579514834,1.0
2021-04-14,2,0.0642636001769128,0.1285272003538256,1.0
2021-04-15,2,-0.07474226804123713,-0.14948453608247425,0.0
2021-04-16,2,0.0019040365575019313,0.0038080731150038627,0.0
2021-04-19,2,0.027461212675577218,0.054922425351154436,1.0
2021-04-20,2,0.019996882979871344,0.03999376595974269,1.0
2021-04-21,2,0.031724326619394394,0.06344865323878879,0.5
2021-04-22,1,0.2264150943396226,0.2264150943396226,1.0
