date,row_id,symbol,open,high,low,close,volume,prev_close,prev_volume,vol_ma60,prev_vol_ma60,ma5,ma50,ma100,ma200,ma400,ret_1d,ret_5d,ret_20d,intraday_range,intraday_return,next_open,gap_pct,close_vs_prev_close_ret,next_gap_pct,dist_ma5,dist_ma50,dist_ma100,dist_ma200,dist_ma400,rsi14,is_limitup_or_near,is_gap_volume_candidate,label_success,market_cap,year,pred_next_gap_pct,prob_tab,overnight_return,signal
2021-01-04,1142857,011210.KS,55100.0,69500.0,55100.0,69500.0,4951540.0,53500.0,1727577.0,345986.4,266097.0333333333,53240.0,46976.0,44398.5,39295.5,42890.125,0.29906542056074764,0.4708994708994709,0.41116751269035534,0.2613430127041742,0.2613430127041742,71700.0,0.02990654205607468,0.2990654205607477,0.031654676258992875,0.30540946656649126,0.4794788828337875,0.565368199376105,0.7686503543662759,0.6204196187350819,86.71454219026161,false,true,1,,2021,0.045058973,0.8506247,0.031654676258992875,1
2021-01-04,3678290,092300.KQ,3770.0,4630.0,3700.0,4630.0,3508446.0,3565.0,1339471.0,481775.65,427986.95,3717.0,3016.3,3059.1,2903.325,3126.375,0.29873772791023845,0.4792332268370607,0.5433333333333333,0.246684350132626,0.22811671087533156,5050.0,0.057503506311360475,0.29873772791023834,0.09071274298056164,0.24562819478073705,0.534993203593807,0.51351704749763,0.5947232913986551,0.480948382711607,94.79166666597548,false,true,1,,2021,0.037880734,0.8320813,0.09071274298056164,1
2021-01-05,4975769,225570.KQ,11700.0,14950.0,11700.0,14950.0,2872653.0,11500.0,1470787.0,217045.96666666667,171777.2,10904.0,8731.6,8734.6,8274.75,8420.75,0.3,0.655592469545958,0.70662100456621,0.2777777777777778,0.2777777777777778,16400.0,0.017391304347825987,0.30000000000000004,0.09698996655518388,0.3710564930300808,0.7121718814421183,0.711583816087743,0.8067011087948277,0.7753763025858742,92.34042553173153,false,true,1,,2021,0.04907222,0.8682746,0.09698996655518388,1
2021-01-05,3384329,080580.KQ,17425.0,22175.0,17250.0,22000.0,1185578.0,17075.0,563977.0,185527.88333333333,168300.36666666667,14965.0,10511.5,8321.25,5153.54,3508.1075,0.2884333821376281,1.0952380952380953,1.391304347826087,0.28263988522238165,0.26255380200860834,25000.0,0.020497803806734938,0.28843338213762815,0.13636363636363646,0.4700968927497493,1.0929458212434002,1.6438335586600572,3.268910302432891,5.271187527748223,86.78343949036848,false,true,1,,2021,0.013010588,0.71508867,0.13636363636363646,1
2021-01-06,324399,002210.KS,6525.0,8300.0,6425.0,8300.0,44968606.0,6400.0,4790288.0,1363614.3333333333,622056.2333333333,6680.0,5860.0,6062.25,6076.4,7240.0,0.296875,0.36065573770491804,0.5229357798165137,0.28735632183908044,0.2720306513409962,8200.0,0.01953125,0.296875,-0.012048192771084376,0.24251497005988032,0.41638225255972694,0.3691286238607778,0.3659403594233428,0.14640883977900554,81.24999999968402,false,true,0,,2021,0.03151122,0.74475974,-0.012048192771084376,1
2021-01-06,4811111,211050.KQ,1124.0,1124.0,1021.0,1102.0,90.0,978.0,30425.0,7849.5,7965.916666666667,984.8,1131.82,1105.4,793.005,656.0675,0.12678936605316973,0.03280224929709466,0.18113612004287247,0.09163701067615658,-0.019572953736654804,1266.0,0.1492842535787322,0.12678936605316982,0.148820326678766,0.11900893582453298,-0.02634694562739648,-0.0030758096616609887,0.3896507588224538,0.6797052132593064,56.82819383172291,false,true,1,,2021,0.015490573,0.6653289,0.148820326678766,1
2021-01-07,4803152,210120.KQ,820.0,820.0,656.0,656.0,0.0,740.0,0.0,0.0,0.0,793.8,705.68,538.36,504.62,654.11,-0.11351351351351352,-0.15897435897435896,-0.2545454545454545,0.2,-0.2,656.0,0.10810810810810811,-0.11351351351351346,0.0,-0.17359536407155451,-0.07040018138533044,0.21851549149268146,0.2999881098648487,0.002889422268425701,45.9378134396759,false,true,0,,2021,0.05293277,0.6388623,0.0,1
2021-01-07,4918132,219750.KQ,11702.0,14709.0,11702.0,14141.0,2126368.0,11606.0,1238672.0,254847.0,229786.33333333334,10962.8,8516.92,8771.65,7788.45,7380.035,0.21842150611752542,0.5992988011762045,0.7514243249938073,0.2569646214322338,0.20842591010083747,14548.0,0.00827158366362224,0.21842150611752542,0.0287815571741743,0.28990768781698106,0.6603420015686421,0.6121254268011149,0.815637257734209,0.9161155739776303,82.41797860820168,false,true,1,,2021,0.022006273,0.5909723,0.0287815571741743,1
2021-01-08,5357143,293580.KQ,800.0,1025.0,793.0,1025.0,36850030.0,789.0,5243050.0,1971530.5,1423982.8333333333,801.8,713.08,684.29,612.41,532.16,0.2991128010139417,0.4118457300275482,0.38513513513513514,0.29,0.28125,1155.0,0.013941698352344822,0.29911280101394166,0.12682926829268282,0.27837365926665014,0.437426375722219,0.4979029358897544,0.6737153214349865,0.9261124473842455,90.6976744153236,false,true,1,,2021,0.035027012,0.8134641,0.12682926829268282,1
2021-01-08,2842762,059100.KQ,4780.0,6050.0,4655.0,6050.0,495215.0,4655.0,127495.0,33128.933333333334,25566.083333333332,4836.0,4122.9,4105.7,4063.5,4939.2375,0.2996777658431794,0.375,0.5031055900621118,0.2918410041841004,0.26569037656903766,6800.0,0.02685284640171859,0.2996777658431793,0.12396694214876036,0.2510339123242349,0.4674137136481604,0.47356114669849236,0.488864279561954,0.22488542006736867,91.93548387044875,false,true,1,,2021,0.039737992,0.80528456,0.12396694214876036,1
2021-01-11,4803154,210120.KQ,773.0,773.0,642.0,642.0,0.0,693.0,0.0,0.0,0.0,714.0,715.6,543.47,507.845,652.1025,-0.0735930735930736,-0.25951557093425603,-0.2906077348066298,0.16946959896507116,-0.16946959896507116,653.0,0.11544011544011545,-0.07359307359307354,0.017133956386292892,-0.10084033613445376,-0.10285075461151483,0.18129795572892693,0.2641652472703284,-0.015492196395505253,39.876670091923664,false,true,1,,2021,0.051656984,0.705122,0.017133956386292892,1
2021-01-11,3808276,097520.KS,46100.0,50800.0,45200.0,49700.0,6152934.0,43450.0,3857012.0,545824.0333333333,451335.31666666665,42720.0,36932.0,36149.5,34042.5,30847.625,0.14384349827387802,0.20631067961165048,0.3542234332425068,0.12147505422993492,0.07809110629067245,48650.0,0.06098964326812428,0.1438434982738781,-0.021126760563380254,0.16338951310861427,0.3457164518574678,0.37484612511929627,0.45993978115590806,0.6111451043637881,82.49999999993584,false,true,0,,2021,0.0052878056,0.5900184,-0.021126760563380254,1
